current_time,real_current_time,ang_vel_body_0,ang_vel_body_1,ang_vel_body_2,gravity_vec_0,gravity_vec_1,gravity_vec_2,commands_0,commands_1,commands_2,dof_pos_0,dof_pos_1,dof_pos_2,dof_pos_3,dof_pos_4,dof_pos_5,dof_pos_6,dof_pos_7,dof_pos_8,dof_pos_9,dof_pos_10,dof_pos_11,dof_vel_0,dof_vel_1,dof_vel_2,dof_vel_3,dof_vel_4,dof_vel_5,dof_vel_6,dof_vel_7,dof_vel_8,dof_vel_9,dof_vel_10,dof_vel_11,actions_0,actions_1,actions_2,actions_3,actions_4,actions_5,actions_6,actions_7,actions_8,actions_9,actions_10,actions_11,zone_center_0,zone_center_1,zone_center_2,zone_radius_0,reaction_time_0,base_pos_0,base_pos_1,base_pos_2,oobb_0,zone_active_0,zone_pre_active_0
1.74497e+09,0,1.04272e-08,5.42985e-05,-1.40755e-08,-0.0321255,-7.49244e-07,-0.999484,0.56176,0.683227,0.178229,0.0259386,-0.00212282,-0.0993401,-0.0259174,-0.00213426,-0.0993584,0.109134,0.00981379,-0.0653789,-0.109154,0.0099082,-0.0653064,1.25295e-05,1.4549e-05,2.08666e-06,-1.25322e-05,1.455e-05,2.08261e-06,-1.39794e-05,1.07861e-05,1.75069e-05,1.3983e-05,1.07676e-05,1.74964e-05,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,0,0.24,0.1,2,-0.038885,5.53857e-06,0.340674,-0.016126,0,0
1.74497e+09,0,1.03932e-08,5.42079e-05,-1.40438e-08,-0.0321203,-7.50286e-07,-0.999484,0.697813,1.00942,-0.197838,0.0259446,-0.00211585,-0.0993391,-0.0259234,-0.00212735,-0.0993575,0.109127,0.00981891,-0.0653706,-0.109147,0.00991344,-0.0652981,1.25302e-05,1.44609e-05,2.06737e-06,-1.2533e-05,1.44618e-05,2.06334e-06,-1.39735e-05,1.07452e-05,1.74151e-05,1.3977e-05,1.07267e-05,1.74046e-05,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,0,0.24,0.1,2,-0.03888,5.5378e-06,0.340675,-0.0161211,0,0
1.74497e+09,0,-1.27543e-05,0.015211,4.36127e-07,-0.0315229,-1.1995e-07,-0.999503,0.483116,0.445119,-0.245475,0.0264163,-3.3915e-05,-0.104527,-0.0263939,-4.55976e-05,-0.104545,0.109442,0.0114424,-0.0688328,-0.109461,0.0115367,-0.0687598,0.00217058,0.00911974,-0.0236983,-0.00216574,0.00911887,-0.023697,0.00140233,0.00674752,-0.0153599,-0.00139702,0.00674713,-0.0153584,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,0,0.24,0.1,2,-0.0388571,5.56726e-06,0.340101,-0.0163409,0,0
1.74497e+09,0,-9.02243e-06,0.0316923,5.84394e-07,-0.0295551,8.04137e-07,-0.999563,1.28378,1.5698,0.358803,0.0276233,0.00445992,-0.117279,-0.0275992,0.00444782,-0.117297,0.110148,0.0143598,-0.076588,-0.110165,0.0144542,-0.0765146,0.00359642,0.012266,-0.0370791,-0.00359343,0.012265,-0.0370777,0.00196465,0.00715353,-0.0216325,-0.00196103,0.00715372,-0.0216314,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,0,0.24,0.1,2,-0.0388184,5.62948e-06,0.338405,-0.0170001,0,0
1.74497e+09,0,-1.30474e-06,0.0426532,3.40387e-07,-0.0264912,1.18482e-06,-0.999649,0.239879,0.228246,-0.243588,0.0292569,0.00944424,-0.13358,-0.0292323,0.00943184,-0.133597,0.110972,0.0168788,-0.0857028,-0.110989,0.0169734,-0.085629,0.00438943,0.0122507,-0.0426832,-0.00438963,0.0122499,-0.0426825,0.00209468,0.00544394,-0.0232023,-0.0020944,0.0054447,-0.023202,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,0,0.24,0.1,2,-0.0388191,5.67386e-06,0.336599,-0.0176999,0,0
1.74497e+09,0,4.55457e-06,0.04704,-1.70344e-07,-0.0228436,1.01356e-06,-0.999739,1.74467,0.165878,0.0982825,0.0310899,0.0140201,-0.150845,-0.031066,0.0140073,-0.150862,0.111797,0.0185988,-0.0948671,-0.111814,0.0186937,-0.0947933,0.00466596,0.0105757,-0.0428194,-0.00466837,0.0105751,-0.0428194,0.00201072,0.00335805,-0.0223883,-0.00201297,0.00335918,-0.0223888,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,0,0.24,0.1,2,-0.038905,5.71297e-06,0.334257,-0.018669,0,0
1.74497e+09,0,7.94104e-06,0.0443654,-9.22373e-07,-0.0184122,3.70409e-07,-0.99983,1.36877,0.175914,0.0412284,0.0332809,0.018275,-0.170207,-0.0332584,0.018262,-0.170224,0.112698,0.0196016,-0.104918,-0.112716,0.0196972,-0.104845,0.00440024,0.00730792,-0.0376157,-0.00440362,0.00730745,-0.0376162,0.00174375,0.00108939,-0.0195191,-0.00174744,0.00109067,-0.0195202,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,0,0.24,0.1,2,-0.0390933,5.73588e-06,0.332246,-0.0195626,0,0
1.74497e+09,0,8.29957e-06,0.0370035,-2.67574e-06,-0.0154823,-1.9981e-07,-0.99988,0.274235,0.179612,0.033234,0.0347675,0.0203876,-0.182544,-0.0347461,0.0203744,-0.182561,0.113284,0.0198022,-0.111465,-0.113304,0.0198979,-0.111392,0.00387183,0.00474566,-0.0313226,-0.00387487,0.00474505,-0.0313235,0.00154646,0.000316167,-0.0171592,-0.00155083,0.000316655,-0.0171601,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,0,0.24,0.1,2,-0.0394013,5.75856e-06,0.330495,-0.0204774,0,0
1.74497e+09,0,7.69091e-06,0.0257689,-3.32005e-06,-0.013008,-8.61846e-07,-0.999915,1.12802,1.66998,-0.293527,0.0361488,0.0216969,-0.19332,-0.0361286,0.0216834,-0.193338,0.113859,0.0198802,-0.117761,-0.11388,0.0199761,-0.117688,0.00309224,0.00209267,-0.0232895,-0.00309471,0.00209209,-0.0232905,0.00134317,0.000128595,-0.0145532,-0.00134737,0.000128932,-0.0145542,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,0,0.24,0.1,2,-0.0398786,5.78524e-06,0.32895,-0.0214666,0,0
1.74497e+09,0,5.10458e-06,0.0146331,-3.10541e-06,-0.0114493,-1.38163e-06,-0.999934,1.81593,1.21228,0.342305,0.0371989,0.0220501,-0.200919,-0.0371794,0.0220365,-0.200937,0.114349,0.0199239,-0.122981,-0.114372,0.02002,-0.122909,0.00224663,0.000132224,-0.0157767,-0.00224788,0.000131788,-0.0157777,0.00113093,0.000141601,-0.0118193,-0.00113385,0.000141934,-0.0118205,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,0,0.24,0.1,2,-0.0404136,5.80985e-06,0.327911,-0.0223276,0,0
