current_time,real_current_time,ang_vel_body_0,ang_vel_body_1,ang_vel_body_2,gravity_vec_0,gravity_vec_1,gravity_vec_2,commands_0,commands_1,commands_2,dof_pos_0,dof_pos_1,dof_pos_2,dof_pos_3,dof_pos_4,dof_pos_5,dof_pos_6,dof_pos_7,dof_pos_8,dof_pos_9,dof_pos_10,dof_pos_11,dof_vel_0,dof_vel_1,dof_vel_2,dof_vel_3,dof_vel_4,dof_vel_5,dof_vel_6,dof_vel_7,dof_vel_8,dof_vel_9,dof_vel_10,dof_vel_11,actions_0,actions_1,actions_2,actions_3,actions_4,actions_5,actions_6,actions_7,actions_8,actions_9,actions_10,actions_11,zone_center_0,zone_center_1,zone_center_2,zone_radius_0,reaction_time_0,base_pos_0,base_pos_1,base_pos_2,oobb_0,zone_active_0,zone_pre_active_0
1.74506e+09,0,-0.00692422,0.00186421,0.00372843,-0.0476637,-0.00149105,-0.998862,-0.612755,1.59706,0.327416,0.0259922,0.0581098,-0.105265,-0.023237,0.0533102,-0.101553,0.0826769,-0.0522137,-0.119214,-0.0825557,-0.0471877,-0.142056,-0.000581329,0.00290664,-0.00242641,0.00135643,-0.00193776,-0.000606604,-0.0032942,-0.000775105,0.000404402,0,-0.00290664,-0.000707704,0,0,0,0,0,0,0,0,0,0,0,0,-0.255939,0.434327,0.741695,0.1,2,-0.265092,0.400633,-0.0403376,0.616546,1,1
1.74506e+09,0,-0.00346211,-0.00745685,0.000532632,-0.0478978,-0.0014178,-0.998852,-1.86846,-0.09493,0.620916,0.0272336,0.0603504,-0.107366,-0.0239636,0.055248,-0.104017,0.0870974,-0.0549992,-0.122452,-0.0869763,-0.0492768,-0.145816,0.00697594,0.0104639,-0.00697594,0.00561951,0.00891371,-0.00778475,0.0168585,-0.00213154,-0.0115255,-0.016471,-0.00678217,-0.0135475,0,0,0,0,0,0,0,0,0,0,0,0,-0.253984,0.433296,0.743732,0.1,2,-0.265122,0.400624,-0.0403482,0.618499,1,1
1.74506e+09,0,-0.00266316,-0.00213053,-0.00213053,-0.0482844,-0.00146505,-0.998833,-0.0744058,-1.04813,0.551828,0.0280511,0.0623789,-0.107824,-0.024993,0.0568526,-0.104934,0.0884297,-0.0540303,-0.123764,-0.0884599,-0.0481262,-0.14708,0.00348797,0.00755727,-0.00232531,-0.00174399,0.0040693,-0.00576274,0.0073635,0.0040693,-0.00647044,-0.00697594,0.00348797,-0.00454953,0,0,0,0,0,0,0,0,0,0,0,0,-0.252984,0.432707,0.744988,0.1,2,-0.265151,0.400286,-0.0403579,0.619699,1,1
1.74506e+09,0,0.0015979,0.00292948,-0.0082558,-0.0483148,-0.00149515,-0.998831,-0.181817,-1.55232,0.178705,0.0294136,0.0644075,-0.109483,-0.0254775,0.0584573,-0.108488,0.0890352,-0.0524256,-0.127397,-0.0893076,-0.0467638,-0.150587,0.00232531,0.00523196,-0.00343742,0.00232531,0.0040693,-0.0108178,0,0.00678217,-0.00768365,-0.000581329,0.00290664,-0.00990786,0,0,0,0,0,0,0,0,0,0,0,0,-0.252047,0.432164,0.746029,0.1,2,-0.265176,0.399715,-0.0403566,0.620673,1,1
1.74506e+09,0,0.0135821,-0.00426106,-0.0114516,-0.0483353,-0.00220134,-0.998829,-1.69856,0.152012,-0.463238,0.0298677,0.0658306,-0.110715,-0.0255683,0.0596382,-0.112769,0.0884902,-0.0507906,-0.130856,-0.0903371,-0.045916,-0.154899,0.000387552,0.00445685,-0.00262862,0.000968881,0.00155021,-0.00626824,-0.0032942,0.00658839,-0.00869465,-0.00290664,0.00251909,-0.0102112,0,0,0,0,0,0,0,0,0,0,0,0,-0.251134,0.431479,0.747208,0.1,2,-0.265382,0.398966,-0.0402736,0.621685,1,1
1.74506e+09,0,0.00852211,-0.00932106,-0.01012,-0.0490143,-0.00309318,-0.998794,1.20118,1.26483,0.650821,0.0299586,0.0666178,-0.111537,-0.0258408,0.0604557,-0.11566,0.0880966,-0.0490648,-0.133621,-0.0919115,-0.0444627,-0.15858,0.000581329,0.00445685,-0.00283082,0.000775105,-0.000775105,-0.00374072,-0.00193776,0.00368175,-0.00667264,-0.00465063,0.000193776,-0.00636934,0,0,0,0,0,0,0,0,0,0,0,0,-0.250876,0.431172,0.747694,0.1,2,-0.2656,0.398647,-0.0400984,0.621923,1,1
1.74506e+09,0,0.00532632,-0.00479369,-0.0141148,-0.0496897,-0.00380376,-0.998758,-1.37884,1.26745,0.0424934,0.03011,0.0667389,-0.111695,-0.0257197,0.0608191,-0.117571,0.0878241,-0.047339,-0.135643,-0.0930923,-0.043736,-0.161408,-0.00193776,0,-0.00141541,0.00290664,-0.0040693,-0.00535833,-0.00368175,0.00465063,-0.00525723,-0.00174399,0.000968881,-0.00545943,0,0,0,0,0,0,0,0,0,0,0,0,-0.250863,0.430914,0.747994,0.1,2,-0.266071,0.398013,-0.0396118,0.62162,1,1
1.74506e+09,0,0.00426106,-0.00106526,-0.0125169,-0.050115,-0.00449226,-0.998734,1.68722,-0.430841,0.256175,0.0305339,0.0662847,-0.111679,-0.0253564,0.0606677,-0.11934,0.0876121,-0.046794,-0.136843,-0.0938493,-0.043736,-0.16384,0.00523196,-0.00271287,-0.000202201,0.00116266,-0.000581329,-0.00596494,-0.00368175,0.00155021,-0.00353852,-0.00213154,-0.00193776,-0.00495393,0,0,0,0,0,0,0,0,0,0,0,0,-0.251119,0.430856,0.747908,0.1,2,-0.266265,0.39794,-0.0393435,0.62121,1,1
1.74506e+09,0,0.0103863,0.00106526,-0.0106526,-0.0502379,-0.00526021,-0.998724,-1.98644,1.12699,0.261911,0.0310486,0.0651947,-0.111679,-0.02466,0.0602741,-0.122231,0.0874002,-0.0469454,-0.137396,-0.0941823,-0.0441902,-0.166542,0.00193776,-0.00426308,-0.000505503,0.00251909,-0.00193776,-0.00545943,0.000581329,-0.00251909,-0.00222421,0.000968881,-0.00465063,-0.00899796,0,0,0,0,0,0,0,0,0,0,0,0,-0.251523,0.430889,0.747655,0.1,2,-0.266567,0.397878,-0.0392746,0.620852,1,1
1.74506e+09,0,0.0127832,0.00186421,-0.00133158,-0.0502443,-0.00637215,-0.998717,-0.792217,1.59406,-0.324571,0.0312,0.0639836,-0.111679,-0.0245389,0.0601529,-0.125043,0.0872791,-0.047884,-0.137586,-0.0945759,-0.0442507,-0.169448,0.00174399,-0.000775105,-0.00111211,0.00251909,0.00251909,-0.00839135,-0.00193776,-0.000193776,-0.000909906,-0.00135643,0.000968881,-0.00778475,0,0,0,0,0,0,0,0,0,0,0,0,-0.252344,0.43104,0.746916,0.1,2,-0.267313,0.397547,-0.0386447,0.619475,1,1
1.74506e+09,0,0.0125169,0.00213053,0.00213053,-0.0503057,-0.00750218,-0.998706,-1.19436,-1.49982,0.6719,0.0313514,0.0627423,-0.111679,-0.0247508,0.0601227,-0.127666,0.0874002,-0.0491254,-0.13806,-0.0950907,-0.0441902,-0.172213,0.00290664,-0.00310042,-0.000404402,-0.00155021,-0.00310042,-0.00465063,-0.000193776,-0.00135643,-0.00293192,0.000387552,-0.00290664,-0.00384182,0,0,0,0,0,0,0,0,0,0,0,0,-0.253031,0.431251,0.746269,0.1,2,-0.267741,0.397331,-0.0381948,0.618391,1,1
1.74506e+09,0,0.0082558,-0.00106526,-0.00346211,-0.0503993,-0.00838656,-0.998694,1.14534,1.76089,0.722042,0.0315027,0.0613798,-0.111679,-0.0247811,0.0600318,-0.12983,0.0875818,-0.050397,-0.138518,-0.0952723,-0.0441296,-0.174551,0.000581329,-0.00271287,0.000404402,0.00232531,-0.000775105,-0.00384182,0,-0.000193776,-0.00121321,-0.00213154,0,-0.00697594,0,0,0,0,0,0,0,0,0,0,0,0,-0.253733,0.431467,0.745564,0.1,2,-0.268139,0.397104,-0.0377919,0.617297,1,1
1.74506e+09,0,0.00399474,-0.00399474,-0.00372843,-0.0506139,-0.00929785,-0.998676,0.749089,-1.21577,0.27783,0.0318055,0.0595631,-0.111663,-0.0246297,0.0594565,-0.131014,0.087703,-0.0516081,-0.138628,-0.0953631,-0.0443113,-0.176652,0.00271287,-0.00271287,0.000909906,0.00290664,-0.0032942,-0.00161761,-0.0032942,-0.00116266,0.00131431,-0.00135643,-0.000193776,-0.00202201,0,0,0,0,0,0,0,0,0,0,0,0,-0.254656,0.432119,0.744469,0.1,2,-0.268756,0.396698,-0.0369835,0.615398,1,1
1.74506e+09,0,-0.00186421,0.000266316,-0.00292948,-0.0507885,-0.00960435,-0.998664,0.473898,1.11624,0.32894,0.0321688,0.0578676,-0.111679,-0.0241755,0.0585482,-0.131678,0.0880663,-0.0528798,-0.138707,-0.0952117,-0.0449774,-0.177837,-0.000581329,-0.00348797,-0.00343742,0.00290664,-0.000968881,0,-0.000387552,-0.00387552,-0.00141541,-0.00135643,-0.00639461,-0.00262862,0,0,0,0,0,0,0,0,0,0,0,0,-0.255259,0.432644,0.74369,0.1,2,-0.269202,0.396586,-0.0365797,0.614202,1,1
