current_time,real_current_time,ang_vel_body_0,ang_vel_body_1,ang_vel_body_2,gravity_vec_0,gravity_vec_1,gravity_vec_2,commands_0,commands_1,commands_2,dof_pos_0,dof_pos_1,dof_pos_2,dof_pos_3,dof_pos_4,dof_pos_5,dof_pos_6,dof_pos_7,dof_pos_8,dof_pos_9,dof_pos_10,dof_pos_11,dof_vel_0,dof_vel_1,dof_vel_2,dof_vel_3,dof_vel_4,dof_vel_5,dof_vel_6,dof_vel_7,dof_vel_8,dof_vel_9,dof_vel_10,dof_vel_11,actions_0,actions_1,actions_2,actions_3,actions_4,actions_5,actions_6,actions_7,actions_8,actions_9,actions_10,actions_11,zone_center_0,zone_center_1,zone_center_2,zone_radius_0,reaction_time_0,base_pos_0,base_pos_1,base_pos_2,oobb_0,zone_active_0,zone_pre_active_0
1.74549e+09,0,-0.00106526,0.000798948,-0.00106526,-0.0317822,0.00421892,-0.999486,1.32839,1.5202,0.345067,0.0256592,0.0357953,-0.108883,-0.0220561,0.0521452,-0.101411,0.0424381,-0.0255392,-0.110289,-0.0447694,-0.0206949,-0.119435,0.00193776,-0.00213154,0,0.00503818,-0.00213154,0,0.00348797,0.00290664,0.000303302,-0.000387552,-0.00232531,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.316087,1.87073,0.850943,0.8,1,-0.750138,0.021519,0.399602,0.993236,0,0
1.74549e+09,0,-0.00266316,0.00213053,-0.00186421,-0.0317396,0.00419752,-0.999487,1.92213,-1.26119,0.150169,0.0256592,0.0358558,-0.108899,-0.0220864,0.0521753,-0.101427,0.0424078,-0.0255694,-0.11032,-0.0447996,-0.0206949,-0.119435,0.00232531,0.00310042,-0.00242641,0.00135643,0.000968881,-0.000606604,0.000387552,-0.000387552,-0.00181981,-0.00271287,-0.0032942,-0.000202201,0,0,0,0,0,0,0,0,0,0,0,0,-0.316273,1.87066,0.851189,0.8,1,-0.750135,0.0214901,0.399601,0.993244,0,0
1.74549e+09,0,-0.00186421,-0.00346211,-0.00559264,-0.031793,0.00425875,-0.999485,-0.854504,-1.78731,-0.118747,0.0267189,0.0377027,-0.11081,-0.0227828,0.0539315,-0.103749,0.0441639,-0.0266897,-0.113243,-0.0467071,-0.0219059,-0.122452,0.00310042,0.00833238,-0.00748145,-0.000775105,0.00871993,-0.0115255,0.00697594,-0.00116266,-0.0168838,-0.00949503,-0.0032942,-0.0156706,0,0,0,0,0,0,0,0,0,0,0,0,-0.316435,1.87069,0.851246,0.8,1,-0.750145,0.021493,0.399607,0.993213,0,0
1.74549e+09,0,-0.00319579,-0.00932106,-0.00399474,-0.0322557,0.00428485,-0.999471,-1.37519,0.234578,0.0839542,0.0277483,0.0397313,-0.110952,-0.0232975,0.0552637,-0.104586,0.0449814,-0.0254483,-0.115912,-0.0474338,-0.0205132,-0.125264,0.00600706,0.00716972,-0.000404402,-0.00135643,0.00445685,-0.00424623,-0.00174399,0.00523196,-0.00394292,-0.0040693,0.00542573,-0.00808805,0,0,0,0,0,0,0,0,0,0,0,0,-0.316669,1.87079,0.851299,0.8,1,-0.749397,0.0216202,0.399542,0.992739,0,0
1.74549e+09,0,0.00639159,-0.0114516,-0.00639159,-0.0331231,0.00404406,-0.999443,-1.14374,1.89622,-0.491031,0.0287475,0.0417599,-0.111726,-0.0236911,0.0570198,-0.107098,0.0457383,-0.0231472,-0.119514,-0.0483421,-0.0177579,-0.12945,0.00193776,0.00658839,-0.00252752,-0.000193776,0.00290664,-0.00677374,0,0.00658839,-0.0107167,-0.00155021,0.0073635,-0.00990786,0,0,0,0,0,0,0,0,0,0,0,0,-0.316874,1.87087,0.851334,0.8,1,-0.749495,0.0216203,0.398994,0.99245,0,0
1.74549e+09,0,0.00133158,0.000266316,-0.0082558,-0.0339517,0.00363978,-0.999417,1.05634,1.79327,0.213528,0.02902,0.0430921,-0.112832,-0.0237214,0.0585034,-0.109926,0.0457383,-0.0208461,-0.122895,-0.0494927,-0.0154871,-0.132831,0.00251909,0.00193776,-0.00121321,0.000581329,-0.000193776,-0.00525723,0.000968881,0.00775105,-0.00758255,-0.00426308,0.000968881,-0.00535833,0,0,0,0,0,0,0,0,0,0,0,0,-0.323532,1.85369,0.840704,0.8,1,-0.74964,0.0215919,0.398622,0.971784,0,0
1.74549e+09,0,0.00346211,0.00133158,-0.0111853,-0.0340214,0.00326519,-0.999416,1.55923,1.25554,-0.783422,0.0294136,0.0432738,-0.113132,-0.0235397,0.0588364,-0.1119,0.0454961,-0.0197864,-0.12498,-0.0499166,-0.0151237,-0.135043,0.00213154,0,-0.00252752,0.000387552,0.000775105,-0.00313412,0,0.00310042,-0.00333632,-0.000193776,-0.00348797,-0.00454953,0,0,0,0,0,0,0,0,0,0,0,0,-0.323977,1.85359,0.840574,0.8,1,-0.750675,0.0213368,0.397905,0.972012,0,0
1.74549e+09,0,0.00985369,-0.00186421,-0.01012,-0.0341792,0.00283715,-0.999412,0.176803,1.6747,-0.0611047,0.0297769,0.0431527,-0.113132,-0.0232672,0.0588061,-0.113527,0.045375,-0.0194837,-0.125359,-0.0502799,-0.0150026,-0.137238,-0.000387552,0.000193776,0.000101101,-0.000968881,-0.00135643,-0.00626824,-0.00193776,0.000193776,-0.00262862,0.000968881,0.000387552,-0.00707704,0,0,0,0,0,0,0,0,0,0,0,0,-0.324254,1.85364,0.840647,0.8,1,-0.750848,0.0211703,0.397754,0.971995,0,0
1.74549e+09,1,0.00958738,-0.00133158,-0.00506001,-0.0344801,0.00193106,-0.999404,1.92116,-1.37951,-0.114552,0.029898,0.0425774,-0.113132,-0.0230553,0.0588061,-0.115486,0.0451631,-0.0194231,-0.126054,-0.0507643,-0.0144274,-0.140714,0.00155021,-0.00135643,-0.00121321,-0.000775105,-0.000193776,-0.00394292,0,-0.000775105,-0.00242641,-0.000775105,-0.00174399,-0.00545943,0,0,0,0,0,0,0,0,0,0,0,0,-0.325032,1.85325,0.841182,0.8,1,-0.750477,0.0208866,0.397918,0.971452,0,0
1.74549e+09,1,0.00639159,-0.000266316,0.00133158,-0.0346097,0.00125177,-0.9994,0.832352,-1.58694,0.353153,0.03011,0.0420021,-0.113148,-0.0229947,0.0589272,-0.117319,0.0452842,-0.0195442,-0.126844,-0.0508552,-0.0138521,-0.143004,0.00135643,-0.00155021,-0.00262862,0.00213154,-0.00348797,-0.00535833,-0.00116266,0.000387552,-0.00192091,-0.000581329,0,-0.00363962,0,0,0,0,0,0,0,0,0,0,0,0,-0.328656,1.84932,0.840782,0.8,1,-0.750766,0.020535,0.397762,0.967224,0,0
1.74549e+09,1,0.00585895,0.000532632,0.00186421,-0.0347005,0.000575308,-0.999398,-0.372989,0.719165,0.75424,0.0302916,0.0409122,-0.113148,-0.023025,0.0591089,-0.11904,0.0455263,-0.0199075,-0.127839,-0.0508854,-0.0133979,-0.144773,0.00135643,-0.0040693,-0.00212311,-0.00116266,-0.00193776,-0.00293192,-0.000775105,0.000387552,-0.00272972,0,-0.00348797,-0.00272972,0,0,0,0,0,0,0,0,0,0,0,0,-0.326892,1.8521,0.842876,0.8,1,-0.75108,0.0202006,0.397548,0.971209,0,0
1.74549e+09,1,0.0082558,-0.000798948,-0.00133158,-0.034869,7.26676e-05,-0.999392,-1.92688,1.49389,-0.413997,0.0304733,0.0399736,-0.113117,-0.0228131,0.0590786,-0.120762,0.0456777,-0.0204526,-0.129056,-0.0508249,-0.0132163,-0.146432,0.00135643,-0.00213154,0.000101101,0.00135643,0.000387552,-0.00333632,0.00116266,-0.00135643,-0.00252752,0,-0.000193776,-0.00424623,0,0,0,0,0,0,0,0,0,0,0,0,-0.327111,1.8526,0.845162,0.8,1,-0.751683,0.0195814,0.397262,0.97294,0,0
1.74549e+09,1,0.00266316,-0.000532632,-0.00426106,-0.0349454,-0.000546463,-0.999389,0.850115,-0.126389,0.583423,0.0305944,0.0390047,-0.113148,-0.0227222,0.0586851,-0.122231,0.0456777,-0.0210884,-0.129514,-0.050946,-0.0133979,-0.148028,0.00348797,-0.000581329,-0.00242641,-0.00135643,-0.000968881,0.000202201,-0.00155021,0.00251909,-0.00232531,-0.00310042,-0.00271287,-0.00394292,0,0,0,0,0,0,0,0,0,0,0,0,-0.332412,1.84772,0.843895,0.8,1,-0.752031,0.0193587,0.397163,0.967087,0,0
