current_time,real_current_time,ang_vel_body_0,ang_vel_body_1,ang_vel_body_2,gravity_vec_0,gravity_vec_1,gravity_vec_2,commands_0,commands_1,commands_2,dof_pos_0,dof_pos_1,dof_pos_2,dof_pos_3,dof_pos_4,dof_pos_5,dof_pos_6,dof_pos_7,dof_pos_8,dof_pos_9,dof_pos_10,dof_pos_11,dof_vel_0,dof_vel_1,dof_vel_2,dof_vel_3,dof_vel_4,dof_vel_5,dof_vel_6,dof_vel_7,dof_vel_8,dof_vel_9,dof_vel_10,dof_vel_11,actions_0,actions_1,actions_2,actions_3,actions_4,actions_5,actions_6,actions_7,actions_8,actions_9,actions_10,actions_11,zone_center_0,zone_center_1,zone_center_2,zone_radius_0,reaction_time_0,base_pos_0,base_pos_1,base_pos_2,oobb_0,zone_active_0,zone_pre_active_0
1.74506e+09,0,2.43505e-07,0.000112522,1.05122e-08,-0.0339611,-9.40461e-08,-0.999423,-0.56907,0.433473,-0.130676,0.0245936,-0.00358218,-0.0998988,-0.0245727,-0.00360125,-0.0999151,0.111057,0.00782466,-0.0700002,-0.111078,0.00791597,-0.0699276,7.42831e-06,-1.1658e-05,8.42442e-05,-7.42743e-06,-1.15905e-05,8.41317e-05,-2.54445e-05,-4.1525e-05,0.000128304,2.54658e-05,-4.14637e-05,0.000128171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0.1,2,-0.040184,4.05816e-06,0.340354,-0.0787648,0,0
1.74506e+09,0,2.37885e-07,0.000112401,1.04203e-08,-0.0339503,-1.1708e-07,-0.999424,0.898198,1.75246,-0.705059,0.0245972,-0.00358695,-0.0998595,-0.0245764,-0.00360602,-0.0998759,0.111044,0.00780547,-0.0699396,-0.111066,0.0078969,-0.0698669,7.6932e-06,-8.70389e-06,7.99673e-05,-7.69173e-06,-8.63751e-06,7.98568e-05,-2.50137e-05,-3.85515e-05,0.000124718,2.50355e-05,-3.84916e-05,0.000124587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0.1,2,-0.0401741,4.04728e-06,0.340363,-0.0787724,0,0
1.74506e+09,0,-1.20181e-05,0.0156438,9.17763e-07,-0.0333296,4.77803e-07,-0.999444,0.847042,-1.53859,0.704801,0.0250574,-0.00155413,-0.104945,-0.0250352,-0.00157332,-0.104961,0.111352,0.00934291,-0.0732598,-0.111372,0.00943434,-0.0731869,0.00212312,0.00894252,-0.0233267,-0.00211834,0.00894185,-0.0233255,0.0013794,0.00642383,-0.0148264,-0.00137392,0.00642388,-0.0148253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0.1,2,-0.0401404,4.0598e-06,0.339805,-0.0781878,0,0
1.74506e+09,0,-6.81072e-06,0.0333872,1.27016e-06,-0.0310633,1.3714e-06,-0.999517,-1.82042,-1.35862,0.0645825,0.0263847,0.00336766,-0.119025,-0.0263609,0.00334817,-0.11904,0.112126,0.0123999,-0.0816195,-0.112145,0.0124915,-0.0815463,0.00362504,0.0122381,-0.0374434,-0.00362256,0.0122375,-0.0374426,0.00196212,0.00671736,-0.0212513,-0.00195869,0.00671828,-0.021251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0.1,2,-0.0400799,4.08105e-06,0.338323,-0.0766076,0,0
1.74506e+09,0,2.4306e-07,0.0428379,1.04928e-06,-0.0282523,1.5776e-06,-0.999601,1.85084,0.868054,0.118442,0.027839,0.00782633,-0.133617,-0.0278148,0.0078066,-0.133632,0.112861,0.0145462,-0.0896055,-0.112879,0.0146382,-0.0895323,0.00430924,0.0122645,-0.0422958,-0.00430956,0.0122641,-0.0422957,0.00207333,0.00526583,-0.0225846,-0.00207281,0.00526733,-0.0225851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0.1,2,-0.0400432,4.08105e-06,0.336163,-0.0743278,0,0
1.74506e+09,0,6.44657e-06,0.0468325,3.62736e-07,-0.0242384,1.23529e-06,-0.999706,-0.374928,1.26334,0.374978,0.0298134,0.0128222,-0.152331,-0.0297899,0.0128024,-0.152347,0.113755,0.0163389,-0.0993603,-0.113773,0.0164317,-0.0992876,0.00455313,0.0103947,-0.0419444,-0.00455562,0.0103945,-0.0419451,0.00196987,0.0030916,-0.0215305,-0.00197196,0.00309347,-0.021532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0.1,2,-0.0400824,4.0586e-06,0.334071,-0.0720675,0,0
1.74506e+09,0,9.17674e-06,0.0444909,-3.91893e-07,-0.0205629,5.82712e-07,-0.999789,1.73786,1.99021,0.0715356,0.0315981,0.0164247,-0.168268,-0.0315759,0.0164049,-0.168284,0.114498,0.0171726,-0.107489,-0.114517,0.0172662,-0.107417,0.00433125,0.0077843,-0.0376689,-0.00433444,0.00778426,-0.0376701,0.00174862,0.00130544,-0.0191888,-0.00175186,0.00130738,-0.0191908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0.1,2,-0.0402211,4.02029e-06,0.332094,-0.0699399,0,0
1.74506e+09,0,8.86335e-06,0.0358748,-2.90052e-06,-0.0170099,-1.99654e-07,-0.999855,-1.2946,0.502449,0.12946,0.033367,0.0191054,-0.183131,-0.0333459,0.0190855,-0.183148,0.115203,0.0174444,-0.115219,-0.115223,0.0175385,-0.115147,0.00370266,0.00472164,-0.0301538,-0.00370507,0.00472133,-0.0301554,0.00149478,0.000306084,-0.0162746,-0.00149868,0.000306798,-0.0162759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0.1,2,-0.0404742,3.98352e-06,0.330375,-0.0680768,0,0
1.74506e+09,0,8.1252e-06,0.0247232,-3.66583e-06,-0.0146234,-9.00308e-07,-0.999893,0.516914,1.82871,-0.708818,0.0346802,0.0204212,-0.193452,-0.03466,0.0204012,-0.193469,0.115755,0.0175231,-0.121158,-0.115777,0.0176175,-0.121088,0.00292154,0.00214214,-0.0221796,-0.00292337,0.00214181,-0.0221813,0.00128277,0.000134872,-0.0136551,-0.00128658,0.000135355,-0.0136567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0.1,2,-0.0408864,3.95401e-06,0.328861,-0.0664688,0,0
1.74506e+09,0,5.92197e-06,0.014774,-3.48827e-06,-0.0132492,-1.40843e-06,-0.999912,-0.166602,0.346091,0.627937,0.0355821,0.0207924,-0.200041,-0.0355624,0.0207722,-0.200059,0.116177,0.0175635,-0.125592,-0.1162,0.017658,-0.125522,0.00217389,0.000324578,-0.015424,-0.00217476,0.000324341,-0.0154256,0.0010866,0.000133435,-0.0112442,-0.00108939,0.000133895,-0.0112458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0.1,2,-0.0413642,3.93431e-06,0.327848,-0.0654038,0,0
