current_time,real_current_time,gravity_vec_0,gravity_vec_1,gravity_vec_2,ang_vel_body_0,ang_vel_body_1,ang_vel_body_2,dof_pos_0,dof_pos_1,dof_pos_2,dof_pos_3,dof_pos_4,dof_pos_5,dof_pos_6,dof_pos_7,dof_pos_8,dof_pos_9,dof_pos_10,dof_pos_11,dof_vel_0,dof_vel_1,dof_vel_2,dof_vel_3,dof_vel_4,dof_vel_5,dof_vel_6,dof_vel_7,dof_vel_8,dof_vel_9,dof_vel_10,dof_vel_11,actions_0,actions_1,actions_2,actions_3,actions_4,actions_5,actions_6,actions_7,actions_8,actions_9,actions_10,actions_11,commands_0,commands_1,commands_2,
1.75674e+09,0,-0.0333604,-1.17218e-06,-0.999443,8.75845e-08,0.000404339,-1.69214e-07,0.031765,-0.000374913,-0.0988393,-0.0317497,-0.00039494,-0.0988541,0.113027,0.00521791,-0.0727433,-0.113042,0.0052923,-0.0726925,-1.71126e-06,-0.000281946,0.000702007,1.70581e-06,-0.000281934,0.000701961,-0.000138816,-0.000385993,0.000803651,0.000138758,-0.000386134,0.000803652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.75674e+09,0,-0.0333473,-1.17515e-06,-0.999444,8.68646e-08,0.000414269,-1.67535e-07,0.031765,-0.000417113,-0.0987312,-0.0317497,-0.0004372,-0.0987459,0.113005,0.00515878,-0.0726178,-0.11302,0.00523305,-0.072567,1.49925e-06,-0.000248261,0.000653051,-1.50368e-06,-0.000248249,0.000653003,-0.0001344,-0.00035537,0.000767639,0.000134343,-0.000355509,0.000767641,-0.757608,-2.18688,-2.37582,0.807566,-0.443525,-1.07575,1.32638,0.305831,-3.78791,-1.22295,-0.885894,-2.93394,0,0,0,0
1.75674e+09,0,-0.0334421,0.00101459,-0.99944,-0.149364,-0.0258239,0.00030115,0.0305945,-0.00457048,-0.116681,-0.0307591,0.000801563,-0.104923,0.112074,0.010428,-0.104021,-0.112537,0.00520408,-0.0957677,-0.0571153,-0.124133,-0.518688,0.0313212,0.023811,-0.163855,-0.0318932,0.127322,-0.871158,0.0155632,0.00117941,-0.693861,-2.00124,-2.72263,-2.7529,2.35248,-1.71591,-0.335629,1.00344,-0.140004,-4.38383,-1.47914,-0.61078,-4.09133,0,0,0,0
1.75674e+09,0,-0.0352177,0.0106146,-0.999323,-0.683187,-0.127702,-0.0250407,-0.00300983,-0.0430776,-0.175297,-0.0219342,0.00252378,-0.12507,0.100655,0.0150952,-0.219255,-0.103223,-0.00193536,-0.204722,-0.530885,-0.432448,-0.39811,0.114224,0.00437918,-0.117329,-0.254113,-0.132653,-0.747521,0.198982,-0.167817,-0.932918,-2.59673,-1.12808,-1.74011,2.44394,-2.73719,2.16628,-1.1194,-1.06502,-1.91664,-0.21709,-0.700052,-2.89284,0,0,0,0
1.75674e+09,0,-0.0402655,0.0282695,-0.998789,-0.49125,-0.286983,0.0576482,-0.0600105,-0.0757009,-0.226916,-0.00994273,0.00262094,-0.134221,0.0526893,-0.0184284,-0.229725,-0.0667254,-0.035207,-0.263496,-0.397024,-0.112031,-0.626444,0.0151836,-0.00068921,-0.0708696,-0.394377,-0.23659,0.171121,0.416341,-0.408799,-0.114222,-2.32483,-0.134961,-0.768918,0.991934,-2.45538,3.08574,-2.24623,-1.11184,0.93027,0.865145,-1.1154,-1.49702,0,0,0,0
1.75674e+09,0,-0.0434886,0.0269804,-0.99869,0.428628,-0.00649387,0.264784,-0.10323,-0.0844233,-0.259192,-0.0220558,0.00215852,-0.144181,0.0352,-0.0181623,-0.25093,-0.0205279,-0.0783513,-0.242681,-0.340218,-0.0689171,-0.24153,-0.204421,-0.0151445,-0.128615,-0.114253,0.0412027,-0.317774,0.31082,-0.303764,0.215273,-2.12635,0.187496,-0.421161,0.894304,-1.83016,2.42101,-2.41731,-1.08666,2.98867,1.27709,-0.847924,-0.604973,0,0,0,0
1.75674e+09,0,-0.0398896,0.01904,-0.999023,0.324034,0.285945,0.257136,-0.126918,-0.09214,-0.28105,-0.0415451,-0.00215936,-0.157442,0.0269176,-0.0199932,-0.277692,-0.0160826,-0.0892038,-0.250069,-0.172519,-0.0791363,-0.204919,-0.165147,-0.0580839,-0.131025,-0.0601045,-0.0660471,-0.206723,-0.0443892,-0.045646,-0.167053,-1.76103,0.998949,-0.237775,1.58091,-0.788767,1.71818,-2.6739,-0.500016,3.32558,1.21396,-0.417772,-0.126797,0,0,0,0
1.75674e+09,0,-0.0321873,0.0146408,-0.999375,0.148246,0.338245,0.179439,-0.139807,-0.0993768,-0.301442,-0.0552976,-0.0096221,-0.170202,0.022519,-0.0320145,-0.291335,-0.0210237,-0.0949315,-0.265628,-0.0739886,-0.0279768,-0.170184,-0.0960057,-0.0603428,-0.106186,-0.0288213,-0.11844,-0.073412,-0.0365716,-0.0467827,-0.117627,-1.33014,1.74138,0.0656901,1.47133,0.146282,0.961897,-2.90254,0.182131,3.58027,1.34379,0.193796,-0.296089,0,0,0,0
1.75674e+09,0,-0.0263322,0.0121586,-0.999579,0.154764,0.239945,0.0998029,-0.143302,-0.098222,-0.315468,-0.0625216,-0.0141787,-0.17962,0.0202692,-0.0429446,-0.29494,-0.0231005,-0.0973422,-0.275707,-0.00285035,0.0633756,-0.125249,-0.0596468,-0.0250424,-0.0936688,-0.0236328,-0.0932703,-0.0134826,-0.00769519,0.0246226,-0.114764,-0.872616,2.22639,0.184421,1.36767,0.624998,0.261377,-2.92551,0.387649,3.79875,1.41927,0.752722,-0.76086,0,0,0,0
1.75674e+09,0,-0.0225003,0.00767401,-0.999717,0.262455,0.106287,0.0145388,-0.139135,-0.081504,-0.322305,-0.0678306,-0.0141824,-0.18997,0.0172987,-0.049924,-0.294934,-0.0222838,-0.0866294,-0.291499,0.06787,0.201089,-0.10486,-0.0409931,0.0219841,-0.0940229,-0.0307773,-0.0349667,0.00658916,0.0232669,0.172749,-0.181241,-0.694654,2.44096,0.255997,1.30371,0.720827,-0.125669,-2.78004,0.262053,3.73252,1.45916,0.975182,-1.17773,0,0,0,0
