current_time,real_current_time,ang_vel_body_0,ang_vel_body_1,ang_vel_body_2,gravity_vec_0,gravity_vec_1,gravity_vec_2,commands_0,commands_1,commands_2,dof_pos_0,dof_pos_1,dof_pos_2,dof_pos_3,dof_pos_4,dof_pos_5,dof_pos_6,dof_pos_7,dof_pos_8,dof_pos_9,dof_pos_10,dof_pos_11,dof_vel_0,dof_vel_1,dof_vel_2,dof_vel_3,dof_vel_4,dof_vel_5,dof_vel_6,dof_vel_7,dof_vel_8,dof_vel_9,dof_vel_10,dof_vel_11,actions_0,actions_1,actions_2,actions_3,actions_4,actions_5,actions_6,actions_7,actions_8,actions_9,actions_10,actions_11,zone_center_0,zone_center_1,zone_center_2,zone_radius_0,reaction_time_0,base_pos_0,base_pos_1,base_pos_2,oobb_0,zone_active_0,zone_pre_active_0
1.74619e+09,0,-0.00266316,0.00346211,-0.00106526,-0.0325161,-0.00208035,-0.999469,-1.94232,1.17111,-0.407427,0.00576683,0.0546279,-0.108172,0.000107028,0.0506918,-0.0998154,0.0430739,-0.0380135,-0.114712,-0.0477366,-0.0339261,-0.130019,0.00193776,-0.000775105,-0.00141541,-0.000968881,-0.00193776,0.000303302,-0.00193776,0.00213154,-0.00181981,-0.00193776,0.000387552,-0.000404402,0,0,0,0,0,0,0,0,0,0,0,0,1.67383,-1.72268,0.0589641,0.5,1,0.248976,-0.85858,0.407174,1.01056,0,0
1.74619e+09,0,0.000266316,0.00213053,-0.00133158,-0.0325056,-0.00209997,-0.99947,-0.111226,-0.634603,0.609819,0.00576683,0.0546885,-0.108172,0.000137307,0.0507221,-0.0997996,0.0430739,-0.0380135,-0.114696,-0.0477063,-0.0339564,-0.130003,0.00135643,0.00310042,-0.00121321,0.00193776,0,0.00141541,-0.00193776,0.00193776,-0.000707704,-0.000387552,-0.00271287,0.000808805,0,0,0,0,0,0,0,0,0,0,0,0,1.67383,-1.72268,0.0589641,0.5,1,0.248975,-0.858573,0.407163,1.01056,0,0
1.74619e+09,0,0.00585895,-0.00266316,-0.00266316,-0.0327054,-0.00226412,-0.999463,1.20926,0.560632,-0.670396,0.00594851,0.0570198,-0.11002,0.000318967,0.0529929,-0.102833,0.0451631,-0.0392852,-0.119024,-0.0503102,-0.0357125,-0.134711,0.0040693,0.00193776,0.00283082,-0.000968881,0,0.000101101,-0.00348797,0.00232531,-0.00454953,0.000581329,0.00232531,-0.00636934,0,0,0,0,0,0,0,0,0,0,0,0,1.67383,-1.72268,0.0589641,0.5,1,0.248971,-0.858632,0.407074,1.0105,0,0
1.74619e+09,0,0.00292948,-0.00719053,-0.0066579,-0.0333563,-0.00277349,-0.99944,1.46911,1.40039,-0.406646,0.00616046,0.0585034,-0.110147,0.000107028,0.0541435,-0.103243,0.0454961,-0.0381649,-0.120114,-0.051491,-0.0341986,-0.137144,0.00213154,0.00716972,-0.00293192,0.000775105,0.000775105,-0.00181981,0.00213154,0.00716972,-0.00829025,-0.00193776,0.00523196,-0.0119299,0,0,0,0,0,0,0,0,0,0,0,0,1.67383,-1.72268,0.0589641,0.5,1,0.248945,-0.858681,0.406866,1.01043,0,0
1.74619e+09,0,0.0143811,-0.0197074,-0.00745685,-0.0343837,-0.00344762,-0.999403,-0.900461,1.44347,0.214633,0.0063118,0.060199,-0.110463,-4.43682e-05,0.0557784,-0.105281,0.0454356,-0.0360152,-0.123369,-0.0526113,-0.0309892,-0.143178,0.00271287,0.00949503,-0.00131431,0.00387552,0.00213154,-0.00505503,-0.00271287,0.00426308,-0.01102,-0.00678217,0.00620084,-0.0122332,0,0,0,0,0,0,0,0,0,0,0,0,1.67383,-1.72268,0.0589641,0.5,1,0.248798,-0.858635,0.406021,1.01037,0,0
1.74619e+09,0,-0.0015979,-0.0197074,-0.00958738,-0.0360468,-0.00404208,-0.999343,-0.612281,0.994462,0.414484,0.00628152,0.0614403,-0.110463,-7.46325e-05,0.0571106,-0.106719,0.045375,-0.0328966,-0.127555,-0.0540343,-0.0278705,-0.146195,-0.00232531,0.0048444,-0.000404402,0.00271287,-0.00116266,-0.00222421,-0.00174399,0.00581329,-0.00930126,-0.00368175,0.00542573,-0.00545943,0,0,0,0,0,0,0,0,0,0,0,0,1.67383,-1.72268,0.0589641,0.5,1,0.248972,-0.858963,0.405382,1.00989,0,0
1.74619e+09,0,-0.0015979,-0.00532632,-0.00719053,-0.0368545,-0.00392941,-0.999313,-1.79132,1.43956,-0.762815,0.00685682,0.0617128,-0.110431,0.000107028,0.0573831,-0.10743,0.0455566,-0.0308074,-0.131062,-0.0540948,-0.0265989,-0.14866,0.0048444,0,0.00202201,0.00310042,-0.00135643,-0.00212311,-0.00193776,0.00193776,-0.00738035,0.000193776,-0.00290664,-0.00384182,0,0,0,0,0,0,0,0,0,0,0,0,1.67383,-1.72268,0.0589641,0.5,1,0.248681,-0.859054,0.40513,1.01004,0,0
1.74619e+09,0,0.00292948,-0.00186421,-0.00932106,-0.0373435,-0.00399406,-0.999295,0.277645,-1.63551,0.588825,0.00746235,0.0614403,-0.110463,0.000349246,0.0572317,-0.108377,0.045708,-0.02999,-0.132436,-0.0541857,-0.026175,-0.150792,0.00232531,-0.00174399,-0.00101101,0.00155021,-0.000775105,-0.00343742,-0.000387552,-0.000968881,-0.00475173,-0.00135643,0,-0.00465063,0,0,0,0,0,0,0,0,0,0,0,0,1.67383,-1.72268,0.0589641,0.5,1,0.248179,-0.858947,0.404606,1.01041,0,0
1.74619e+09,0,0.00852211,0,-0.0066579,-0.0375903,-0.0046264,-0.999283,0.334278,-1.40834,-0.597828,0.00764402,0.0608045,-0.110463,0.000500642,0.0568987,-0.110004,0.0456172,-0.0300202,-0.133494,-0.0546398,-0.026175,-0.153335,0,0.000193776,-0.00101101,0.000775105,-0.00465063,-0.00353852,-0.000387552,-0.000193776,-0.00222421,-0.000775105,0.000968881,-0.00535833,0,0,0,0,0,0,0,0,0,0,0,0,1.67383,-1.72268,0.0589641,0.5,1,0.24781,-0.859086,0.404531,1.0106,0,0
1.74619e+09,0,0.010919,-0.00292948,-0.00346211,-0.0377677,-0.00529573,-0.999273,-1.87683,-0.955774,0.152124,0.00770458,0.0600778,-0.110447,0.000470363,0.0566261,-0.111458,0.0454961,-0.0301414,-0.134363,-0.0551243,-0.0261447,-0.155974,0.00251909,-0.0032942,-0.000101101,0.000387552,-0.00155021,-0.00394292,-0.00174399,-0.000581329,-0.00272972,-0.0048444,-0.000193776,-0.00647044,0,0,0,0,0,0,0,0,0,0,0,0,1.67383,-1.72268,0.0589641,0.5,1,0.247266,-0.859355,0.404847,1.01092,0,0
